tier,country,language,language_basis,name,domain,catalogue_sources_in_country,catalogue_sources_in_language,flags
T2,al,,,Laiko Vima,laikovima.com,3,,
T2,al,,,News 24,news24.al,3,,
T2,al,,,Partizani Channel,tv.partizani.al,3,,
T2,al,,,Plus 2 Radio,plus2radio.com.al,3,,
T2,al,,,POLIS,uet.edu.al,3,,
T2,al,sq,export,Përlindja e Shqipërisë,pdiu.al,3,2,
T2,al,,,Radio Tirana International,rti.rtsh.al,3,,
T2,al,sq,export,Republika,gazetarepublika.al,3,2,
T2,al,sq,export,Rilindja Demokratike,rilindjademokratike.com,3,2,
T2,al,,,RTSH 1,tv.rtsh.al,3,,
T2,al,,,RTV Ora News,oranews.tv,3,,
T2,al,sq,export,Shekulli,shekulli.com.al,3,2,
T2,al,sq,export,Studime historike,ih-revista.edu.al,3,2,
T2,al,,,Syri Television,syri.net,3,,
T2,al,en,export,Tirana Times,tiranatimes.com,3,2327,
T2,al,sq,export,Top Albania Radio,topalbaniaradio.com,3,2,
T2,al,,,Top Channel,top-channel.tv,3,,
T2,al,,,TV Klan,tvklan.al,3,,
T2,al,,,Tëvë 1,teve1.info,3,,
T2,al,,,Vizion Plus,vizionplus.tv,3,,
T2,al,sq,export,Zëri i Popullit,zeri-popullit.com,3,2,
T2,am,hy,export,A1plus,a1plus.am,4,1,
T2,am,hy,export,Aravot,aravot.am,4,1,
T2,am,hy,export,Armenia 2,tv.am,4,1,
T2,am,hy,export,Armenia TV,armeniatv.am,4,1,
T2,am,en,export,Armenian Folia Anglistika,journals.ysu.am,4,2327,
T2,am,,,ArmeniaNow,armenianow.com,4,,
T2,am,hy,export,ATV,atv.am,4,1,
T2,am,hy,export,Azg,azg.am,4,1,
T2,am,,,Cultural Channel,armculturalchannel.com,4,,
T2,am,hy,export,Droshak,droshak.am,4,1,
T2,am,en,export,EVN Report,evnreport.com,4,2327,
T2,am,en,export,Fundamental Armenology,fundamentalarmenology.am,4,2327,
T2,am,ru,export,Golos Armenii,golosarmenii.am,4,38,
T2,am,hy,export,Grakan tert,grakantert.am,4,1,
T2,am,hy,export,Hayastani Hanrapetutyun,hhpress.am,4,1,
T2,am,hy,export,Haykakan zhamanak,armtimes.com,4,1,
T2,am,hy,export,Lav Radio,lavradio.am,4,1,
T2,am,en,export,Lraber Hasarakakan Gitutyunneri,lraber.sci.am,4,2327,
T2,am,en,export,Mediamax news agency,mediamax.am,4,2327,
T2,am,en,export,PanARMENIAN.Net,pan.am,4,2327,
T2,am,hy,export,Public Radio of Armenia,armradio.am,4,1,
T2,am,hy,export,Q114760288,haygithimnadram.am,4,1,
T2,am,en,export,Q13052094,flib.sci.am,4,2327,
T2,am,hy,export,Q13052168,lawinstitute.am,4,1,
T2,am,hy,export,Q13052527,geghamatv.am,4,1,
T2,am,hy,export,Q13052605,gretert.com,4,1,
T2,am,hy,export,Q13052722,ysu.am,4,1,
T2,am,hy,export,Q13053070,loritv.am,4,1,
T2,am,,,Q13053170,khustup.tv,4,,
T2,am,hy,export,Q13053358,jcp.sci.am,4,1,
T2,am,hy,export,Q13053472,rau.am,4,1,
T2,am,hy,export,Q13053736,apnet.am,4,1,
T2,am,hy,export,Q13053919,math.seua.am,4,1,
T2,am,en,export,Q137262807,reopen.media,4,2327,
T2,am,hy,export,Q16364089,168.am,4,1,
T2,am,hy,export,Q16398531,aniedu.am,4,1,
T2,am,hy,export,Q20517511,avangard.am,4,1,
T2,am,hy,export,Q47492335,press.polytechnic.am,4,1,
T2,am,hy,export,Radio Arevik,arevik.armradio.am,4,1,
T2,am,hy,export,Radio Mariam Armenia,radiomariam.am,4,1,
T2,am,ru,export,Respublika Armenia,ra.am,4,38,
T2,am,,,Shant TV,shanttv.com,4,,
T2,am,hy,export,Shoghakat TV,shoghakat.am,4,1,
T2,am,en,export,Tert.am,tert.am,4,2327,
T2,am,hy,export,Vorotan,vorotantert.am,4,1,
T2,am,hy,export,Yerevan,imyerevan.com,4,1,
T2,am,en,export,Yerkir,yerkir.am,4,2327,
T2,az,az,export,"""Azerbaijan muallimi"" newspaper",muallim.edu.az,4,2,
T2,az,,,ANS Radio,ansradio.ws,4,,
T2,az,,,ANS TV,anstv.ws,4,,
T2,az,,,APA TV,apa.tv,4,,
T2,az,az,export,ARB,arbtv.az,4,2,
T2,az,az,export,ARB Cənub,cenub.arbtv.az,4,2,
T2,az,az,export,ARB Günəş,gunesh.arbtv.az,4,2,
T2,az,az,export,ARB Ulduz,alternativtv.az,4,2,
T2,az,az,export,ASAN Radio,asanradio.az,4,2,
T2,az,az,export,Azad Azerbaijan International TV,atv.az,4,2,
T2,az,az,export,Azadliq,azadliq.org,4,2,
T2,az,az,export,Azadliq,azadliq.info,4,2,
T2,az,az,export,Azerbaijan State News Agency,azertag.az,4,2,
T2,az,az,export,"Azerbaycan (newspaper, 1992)",azerbaijan-news.az,4,2,
T2,az,en,export,AzerNews,azernews.az,4,2327,
T2,az,az,export,AzTV,aztv.az,4,2,
T2,az,ru,export,Bakinski Rabochi,br.az,4,38,
T2,az,en,export,Baku Dialogues,bakudialogues.ada.edu.az,4,2327,deep_host
T2,az,az,export,Birja,birja.com,4,2,
T2,az,ru,export,Caliber.az,caliber.az,4,38,
T2,az,ru,export,CBC Azerbaijan,cbc.az,4,38,
T2,az,az,export,CBC Sport,cbcsport.az,4,2,
T2,az,az,export,Dalğa TV,dalga.az,4,2,
T2,az,ru,export,Dîplomata Kurdî,diplomata-kurdi.com,4,38,
T2,az,az,export,Dünya TV,dunyatv.az,4,2,
T2,az,az,export,Haqqın nuru,qafqazislam.com,4,2,
T2,az,az,export,Idman Azerbaijan TV,idmantv.az,4,2,
T2,az,,,IRS Heritage,irs-az.com,4,,
T2,az,az,export,İctimai Radio,ictimairadio.az,4,2,
T2,az,az,export,İctimai Television,itv.az,4,2,
T2,az,az,export,Journal of Azerbaijan Archaeology,jaa.khazar.org,4,2,
T2,az,az,export,Khazar TV,xezertv.az,4,2,
T2,az,az,export,Kəpəz TV,kepeztv.az,4,2,
T2,az,,,Lider TV,lidertv.com,4,,
T2,az,az,export,Medeniyyet TV,medeniyyettv.az,4,2,
T2,az,en,export,Metafizika,metafizikajurnali.az,4,2327,
T2,az,az,export,Mikroskop Media,mikroskopmedia.com,4,2,
T2,az,az,export,Naxçıvan TV,naxcivantv.az,4,2,
T2,az,en,export,Problems of Arts and Culture,pac.az,4,2327,
T2,az,az,export,Q121094525,cljournal.az,4,2,
T2,az,az,export,Q12835176,525.az,4,2,
T2,az,,,Q12837275,baki-xeber.com,4,,
